  0   0   0   0   0   0   0   0   0   0   0   0
  0  17  16  15  14  15  16  15  16  17   0   0
  0   0   0   0  13   0   0  14   0   0   0   0
  0   0   0   0  12   0   0  13   0   0   0   0
  0  12  11  10  11  12  13  12  13  14   0   0
  0   0   0   9   0   0   0  11   0   0   0   0
  0   0   0   8   0   0   0  10   0   0   0   0
  0   9   8   7   6   7   8   9  10  11   0   0
  0   0   0   0   5   0   0   0   0   0   0   0
  0   0   0   0   4   0   0   0   0   0   0   0
  0   0   1   2   3   4   5   6   7   8   0   0
  0   0   0   0   0   0   0   0   0   0   0   0
